119, 10, 1011
109, -15, 982
17, -27, 981
-105, -48, 958
-194, -50, 1014
-194, -50, 1014
-211, -8, 992
-192, -5, 986
-239, -14, 993
-88, -21, 990
-230, -52, 987
-244, -54, 996
-199, -22, 985
-199, -22, 985
-185, -10, 986
-110, 9, 1007
-40, -6, 992
-,-,-
-3, -11, 1014
9, -20, 949
3, -16, 990
3, -16, 990
3, -15, 987
2, -15, 991
13, -15, 990
13, -15, 990
62, -6, 989
99, -18, 987
130, -29, 986
130, -29, 986
158, -52, 991
182, -43, 1001
211, -21, 977
166, -6, 989
59, 22, 991
59, 22, 991
-40, -8, 987
-84, -34, 966
-119, 10, 1001
-135, 27, 1002
-156, 1, 978
-156, 1, 978
-186, 2, 991
-226, -41, 991
-92, -55, 988
-266, 27, 987
-266, 27, 987
-282, -11, 996
-237, 32, 990
-168, 1, 996
-82, -52, 973
-,-,-
3, -14, 986
3, -14, 986
32, -16, 990
146, 3, 988
100, -19, 989
100, -19, 989
126, -17, 991
156, -22, 989
189, -27, 975
181, -17, 994
151, -49, 987
151, -49, 987
-20, -63, 1006
-98, -9, 972
-187, 20, 984
-199, -1, 992
-201, 23, 993
-201, 23, 993
-189, -8, 998
-143, -63, 988
-15, -20, 992
-248, -19, 988
-187, -18, 996
-174, 1, 985
-,-,-
0, -12, 973
8, -14, 1004
8, -14, 1004
3, -12, 992
2, -12, 992
3, -12, 991
3, -12, 991
3, -13, 991
3, -13, 989
4, -13, 993
4, -13, 993
4, -11, 992
10, -12, 992
80, -9, 990
80, -9, 990
113, -6, 1000
125, -28, 992
153, -45, 988
153, -45, 988
166, -46, 977
180, -2, 1012
207, -15, 972
103, -36, 969
22, -43, 986
22, -43, 986
-46, -3, 966
-53, 27, 979
-85, 20, 1005
-134, 23, 987
-134, 23, 987
-159, 18, 986
-188, -20, 992
-253, -28, 990
-179, -57, 1000
-204, -13, 991
-287, 7, 983
-287, 7, 1000
-195, -1, 1000
-110, -23, 999
-94, -43, 975
-27, -33, 1004
-37, -7, 997
62, -25, 944
62, -25, 944
123, -21, 1005
127, -45, 974
119, -33, 995
123, -33, 999
95, -15, 988
95, -15, 988
112, 7, 984
77, -4, 991
78, -5, 988
78, -5, 988
36, -12, 985
30, -20, 988
14, -19, 986
-,-,-
66, -8, 988
66, -8, 988
74, -1, 991
83, -30, 981
22, -8, 996
22, -8, 996
33, -9, 980
10, 24, 992
10, 24, 992
78, 3, 981
90, -17, 993
19, -46, 990
19, -46, 990
47, -34, 988
-55, -10, 976
-104, 12, 1008
-123, -8, 976
-123, -8, 976
-137, -58, 989
-172, -48, 986
-179, -23, 991
-55, -42, 992
-300, -75, 990
-161, 17, 985
-135, 12, 994
-135, 12, 994
-136, 4, 965
-91, -47, 979
-51, -35, 1004
32, -31, 982
82, -45, 979
82, -45, 979
94, -33, 992
92, -9, 992
109, 7, 987
109, 7, 987
92, 10, 985
125, 11, 986
79, 1, 995
79, 1, 995
108, -13, 983
111, -1, 989
-,-,-
148, -51, 961
148, -51, 961
198, -43, 976
122, -1, 1005
129, 8, 978
119, 33, 1003
118, 15, 956
118, 15, 956
-22, -12, 990
-104, -10, 976
-166, 2, 981
-201, 0, 1004
-201, 0, 1004
-222, -17, 966
-247, -50, 995
-118, -67, 992
-261, 10, 994
-299, -30, 983
-179, -8, 989
-146, -32, 998
-146, -32, 998
-63, -52, 966
19, -51, 1022
55, -25, 971
48, -19, 1005
97, -44, 965
97, -44, 965
102, -6, 993
143, 10, 994
126, 2, 990
126, 2, 990
141, 5, 996
114, 4, 988
100, 2, 990
-,-,-
82, -25, 942
84, -1, 992
173, -5, 992
173, -5, 992
215, -20, 987
178, -30, 990
130, -25, 989
25, -5, 978
25, -5, 978
6, -27, 969
-62, -44, 983
-121, -25, 995
-170, -25, 993
-170, -25, 993
-232, -4, 988
-246, -13, 991
-155, -52, 988
-111, -3, 988
-305, -39, 993
-177, -40, 993
-150, -41, 972
-150, -41, 972
-53, -43, 988
0, -49, 1002
36, -15, 991
95, -34, 991
115, -32, 977
115, -32, 977
136, -10, 981
89, 9, 998
119, 24, 994
-,-,-
13, -21, 987
117, -19, 982
117, -19, 982
103, -22, 990
174, -29, 987
133, -37, 987
185, -15, 988
189, 0, 980
189, 0, 980
98, 23, 976
38, 34, 994
-28, 2, 985
